[20, 1]-lr-0.1
176,5861
102,5636
102,1312
101,1377
101,2575
99,5675
100,2972
99,2939
99,4701
99,8075
99,2912
101,5591
99,1815
98,3437
98,0533
97,1772
97,0828
97,9014
97,2081
97,3291
95,4838
98,8678
95,4054
95,9123
95,4838
93,8557
94,2819
92,9441
93,0740
92,2479
92,2722
90,8934
91,1179
90,5914
92,6027
89,4215
88,5479
86,6974
86,1998
86,4526
85,7189
85,3062
84,8631
83,4720
84,3090
82,7797
83,7558
82,8843
82,4100
81,5711
83,1411
82,5772
81,7959
80,7651
80,1483
82,8427
79,7760
80,7262
79,7719
79,5249
80,3651
79,5013
78,4846
79,4947
78,8349
78,1479
77,4421
76,4374
76,9317
76,5415
76,7856
77,4759
76,7548
76,5648
74,3307
75,1887
75,7398
77,0713
76,1380
75,6791
75,9520
75,2771
75,1182
75,2785
74,9875
73,6863
73,3455
76,2282
77,5354
76,8777
75,6932
74,4339
74,5663
77,2120
74,6731
74,2538
75,2140
74,2110
74,7752
76,4621
74,8499
75,1480
74,0370
74,5882
73,7399
74,3447
74,4580
74,4347
73,8258
75,4599
74,0278
74,3836
74,6438
74,3983
73,5577
74,3634
74,7481
74,4730
74,3527
74,3535
73,5600
74,4425
74,7975
74,3547
74,1587
73,7668
73,5006
74,4200
74,7090
74,2794
73,5393
73,6981
73,4034
73,6909
72,4016
72,6718
71,9103
70,9884
70,8778
74,0854
71,7313
70,2180
70,8561
72,9887
71,5405
70,3216
71,5403
69,9562
71,3548
70,0885
69,7665
70,6798
71,6796
69,6465
69,0594
70,3567
70,4252
69,4283
70,5404
70,1315
69,6457
69,9496
71,0795
70,6459
70,5981
69,6081
73,6210
70,5476
69,8301
70,1836
69,9265
71,5415
69,4375
71,1870
70,2949
69,0009
70,3243
70,9054
70,9419
70,2376
70,0846
70,7711
70,2614
70,8882
70,8126
69,9405
71,1876
69,5241
68,8553
69,4553
69,9579
70,4155
69,6662
69,1642
69,6979
72,8730
69,8202
68,8508
69,1319
71,2203
72,0310
70,5142
69,9853
69,3794
68,9777
69,4629
69,1025
68,9929
70,9805
